房屋坐落	房地产公司名称	房屋用途	房屋套型	建筑面积	参考单价
陵镇芦荡路1299号尚林华庭28幢2101	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15538
陵镇芦荡路1299号尚林华庭28幢2102	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15638
陵镇芦荡路1299号尚林华庭28幢2103	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15638
陵镇芦荡路1299号尚林华庭28幢2104	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15488
陵镇芦荡路1299号尚林华庭28幢2201	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15528.01
陵镇芦荡路1299号尚林华庭28幢2202	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15628
陵镇芦荡路1299号尚林华庭28幢2203	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15628
陵镇芦荡路1299号尚林华庭28幢2204	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15478
陵镇芦荡路1299号尚林华庭28幢2301	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15518
陵镇芦荡路1299号尚林华庭28幢2302	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15618
陵镇芦荡路1299号尚林华庭28幢2303	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15618
陵镇芦荡路1299号尚林华庭28幢2304	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15468
陵镇芦荡路1299号尚林华庭28幢2401	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15518
陵镇芦荡路1299号尚林华庭28幢2402	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15618
陵镇芦荡路1299号尚林华庭28幢2403	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15618
陵镇芦荡路1299号尚林华庭28幢2404	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15468
陵镇芦荡路1299号尚林华庭28幢2501	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15508
陵镇芦荡路1299号尚林华庭28幢2502	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15608
陵镇芦荡路1299号尚林华庭28幢2503	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15608
陵镇芦荡路1299号尚林华庭28幢2504	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15458
陵镇芦荡路1299号尚林华庭28幢2601	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15008
陵镇芦荡路1299号尚林华庭28幢2602	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15108
陵镇芦荡路1299号尚林华庭28幢2603	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15108
陵镇芦荡路1299号尚林华庭28幢2604	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14958
陵镇芦荡路1299号尚林华庭28幢301	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14938
陵镇芦荡路1299号尚林华庭28幢302	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15038
陵镇芦荡路1299号尚林华庭28幢303	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15038
陵镇芦荡路1299号尚林华庭28幢304	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14888
陵镇芦荡路1299号尚林华庭28幢401	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14938
陵镇芦荡路1299号尚林华庭28幢402	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15038
陵镇芦荡路1299号尚林华庭28幢403	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15038
陵镇芦荡路1299号尚林华庭28幢404	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14888
陵镇芦荡路1299号尚林华庭28幢501	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14968
陵镇芦荡路1299号尚林华庭28幢502	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15068
陵镇芦荡路1299号尚林华庭28幢503	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15068
陵镇芦荡路1299号尚林华庭28幢504	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14918
陵镇芦荡路1299号尚林华庭28幢601	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14998
陵镇芦荡路1299号尚林华庭28幢602	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15098
陵镇芦荡路1299号尚林华庭28幢603	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15098
陵镇芦荡路1299号尚林华庭28幢604	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14948
陵镇芦荡路1299号尚林华庭28幢701	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15028.01
陵镇芦荡路1299号尚林华庭28幢702	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15128
陵镇芦荡路1299号尚林华庭28幢703	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15128
陵镇芦荡路1299号尚林华庭28幢704	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14978
陵镇芦荡路1299号尚林华庭28幢801	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15058
陵镇芦荡路1299号尚林华庭28幢802	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15158
陵镇芦荡路1299号尚林华庭28幢803	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15158
陵镇芦荡路1299号尚林华庭28幢804	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15008
陵镇芦荡路1299号尚林华庭28幢901	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15108
陵镇芦荡路1299号尚林华庭28幢902	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15208
陵镇芦荡路1299号尚林华庭28幢903	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15208
陵镇芦荡路1299号尚林华庭28幢904	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15058
陵镇芦荡路1299号尚林华庭29幢1001	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15158
陵镇芦荡路1299号尚林华庭29幢1002	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15258
陵镇芦荡路1299号尚林华庭29幢1003	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15258
陵镇芦荡路1299号尚林华庭29幢1004	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15108
陵镇芦荡路1299号尚林华庭29幢101	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14238
陵镇芦荡路1299号尚林华庭29幢102	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14338
陵镇芦荡路1299号尚林华庭29幢103	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14338
陵镇芦荡路1299号尚林华庭29幢104	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14188
陵镇芦荡路1299号尚林华庭29幢1101	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15208
陵镇芦荡路1299号尚林华庭29幢1102	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15308
陵镇芦荡路1299号尚林华庭29幢1103	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15308
陵镇芦荡路1299号尚林华庭29幢1104	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15158
陵镇芦荡路1299号尚林华庭29幢1201	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15258
陵镇芦荡路1299号尚林华庭29幢1202	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15358
陵镇芦荡路1299号尚林华庭29幢1203	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15358
陵镇芦荡路1299号尚林华庭29幢1204	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15208
陵镇芦荡路1299号尚林华庭29幢1301	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15308
陵镇芦荡路1299号尚林华庭29幢1302	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭29幢1303	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭29幢1304	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15258
陵镇芦荡路1299号尚林华庭29幢1401	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15308
陵镇芦荡路1299号尚林华庭29幢1402	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭29幢1403	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15408
陵镇芦荡路1299号尚林华庭29幢1404	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15258
陵镇芦荡路1299号尚林华庭29幢1501	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15358
陵镇芦荡路1299号尚林华庭29幢1502	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15458
陵镇芦荡路1299号尚林华庭29幢1503	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15458
陵镇芦荡路1299号尚林华庭29幢1504	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15308
陵镇芦荡路1299号尚林华庭29幢1601	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15408
陵镇芦荡路1299号尚林华庭29幢1602	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15508
陵镇芦荡路1299号尚林华庭29幢1603	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15508
陵镇芦荡路1299号尚林华庭29幢1604	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15358
陵镇芦荡路1299号尚林华庭29幢1701	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15458
陵镇芦荡路1299号尚林华庭29幢1702	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15558
陵镇芦荡路1299号尚林华庭29幢1703	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15558
陵镇芦荡路1299号尚林华庭29幢1704	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15408
陵镇芦荡路1299号尚林华庭29幢1801	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15508
陵镇芦荡路1299号尚林华庭29幢1802	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15608
陵镇芦荡路1299号尚林华庭29幢1803	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15608
陵镇芦荡路1299号尚林华庭29幢1804	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15458
陵镇芦荡路1299号尚林华庭29幢1901	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15558
陵镇芦荡路1299号尚林华庭29幢1902	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15658
陵镇芦荡路1299号尚林华庭29幢1903	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15658
陵镇芦荡路1299号尚林华庭29幢1904	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15508
陵镇芦荡路1299号尚林华庭29幢2001	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15548
陵镇芦荡路1299号尚林华庭29幢2002	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15648.01
陵镇芦荡路1299号尚林华庭29幢2003	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	15648.01
陵镇芦荡路1299号尚林华庭29幢2004	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	15498
陵镇芦荡路1299号尚林华庭29幢201	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	101.09	14738
陵镇芦荡路1299号尚林华庭29幢202	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14838
陵镇芦荡路1299号尚林华庭29幢203	华润置地（苏州）建设有限公司	住宅	1室1厅1卫	89.47	14838
